,season,team,Est_Payroll
474,2006,Minnesota Twins,"$63,396,006"
475,2006,New York Mets,"$101,584,963"
476,2006,New York Yankees,"$194,663,079"
477,2006,Oakland Athletics,"$64,843,079"
478,2006,Philadelphia Phillies,"$88,273,333"
479,2006,Pittsburgh Pirates,"$46,717,750"
480,2006,San Diego Padres,"$69,896,141"
481,2006,Seattle Mariners,"$87,959,833"
482,2006,San Francisco Giants,"$90,056,419"
483,2006,St. Louis Cardinals,"$88,891,371"
484,2006,Tampa Bay Devil Rays,"$34,917,967"
485,2006,Texas Rangers,"$68,228,662"
486,2006,Toronto Blue Jays,"$71,365,000"
487,2006,Washington Nationals,"$63,143,000"
488,2007,Arizona Diamondbacks,"$52,067,546"
489,2007,Atlanta Braves,"$87,290,833"
490,2007,Baltimore Orioles,"$93,174,808"
491,2007,Boston Red Sox,"$143,026,214"
492,2007,Chicago Cubs,"$101,670,332"
493,2007,Chicago White Sox,"$108,671,833"
494,2007,Cincinnati Reds,"$68,524,980"
495,2007,Cleveland Indians,"$61,673,267"
496,2007,Colorado Rockies,"$54,041,000"
497,2007,Detroit Tigers,"$95,180,369"
498,2007,Florida Marlins,"$30,507,000"
499,2007,Houston Astros,"$87,759,000"
500,2007,Kansas City Royals,"$67,691,500"
501,2007,Los Angeles Angels of Anaheim,"$109,251,333"
502,2007,Los Angeles Dodgers,"$108,454,524"
503,2007,Milwaukee Brewers,"$70,986,500"
504,2007,Minnesota Twins,"$71,439,500"
505,2007,New York Mets,"$116,181,663"
506,2007,New York Yankees,"$207,039,045"
507,2007,Oakland Athletics,"$79,366,940"
508,2007,Philadelphia Phillies,"$89,428,213"
509,2007,Pittsburgh Pirates,"$38,537,833"
510,2007,San Diego Padres,"$58,110,567"
511,2007,Seattle Mariners,"$106,460,833"
512,2007,San Francisco Giants,"$90,219,056"
513,2007,St. Louis Cardinals,"$90,286,823"
514,2007,Tampa Bay Devil Rays,"$24,623,500"
515,2007,Texas Rangers,"$68,643,675"
516,2007,Toronto Blue Jays,"$81,942,800"
517,2007,Washington Nationals,"$36,947,500"
518,2008,Arizona Diamondbacks,"$66,202,712"
519,2008,Atlanta Braves,"$102,365,683"
520,2008,Baltimore Orioles,"$67,196,246"
521,2008,Boston Red Sox,"$133,390,035"
522,2008,Chicago Cubs,"$120,345,833"
523,2008,Chicago White Sox,"$121,189,332"
524,2008,Cincinnati Reds,"$74,167,695"
525,2008,Cleveland Indians,"$78,970,066"
526,2008,Colorado Rockies,"$68,655,500"
527,2008,Detroit Tigers,"$138,785,196"
528,2008,Florida Marlins,"$21,811,500"
529,2008,Houston Astros,"$87,946,807"
530,2008,Kansas City Royals,"$59,445,500"
531,2008,Los Angeles Angels of Anaheim,"$119,216,333"
532,2008,Los Angeles Dodgers,"$118,588,536"
533,2008,Milwaukee Brewers,"$80,937,499"
534,2008,Minnesota Twins,"$56,932,766"
535,2008,New York Mets,"$137,793,376"
536,2008,New York Yankees,"$212,286,789"
537,2008,Oakland Athletics,"$47,967,126"
538,2008,Philadelphia Phillies,"$97,879,880"
539,2008,Pittsburgh Pirates,"$48,689,783"
540,2008,San Diego Padres,"$73,677,616"
541,2008,Seattle Mariners,"$117,666,482"
542,2008,San Francisco Giants,"$76,594,500"
543,2008,St. Louis Cardinals,"$99,624,449"
544,2008,Tampa Bay Rays,"$44,970,597"
545,2008,Texas Rangers,"$68,037,326"
546,2008,Toronto Blue Jays,"$97,793,900"
547,2008,Washington Nationals,"$54,961,000"
548,2009,Arizona Diamondbacks,"$75,920,666"
549,2009,Atlanta Braves,"$99,593,166"
550,2009,Baltimore Orioles,"$69,904,166"
551,2009,Boston Red Sox,"$125,439,499"
552,2009,Chicago Cubs,"$139,652,000"
553,2009,Chicago White Sox,"$101,081,000"
554,2009,Cincinnati Reds,"$78,979,000"
555,2009,Cleveland Indians,"$85,224,866"
556,2009,Colorado Rockies,"$79,250,200"
557,2009,Detroit Tigers,"$119,510,145"
558,2009,Florida Marlins,"$40,029,000"
559,2009,Houston Astros,"$105,804,414"
560,2009,Kansas City Royals,"$76,817,333"
561,2009,Los Angeles Angels of Anaheim,"$118,169,000"
562,2009,Los Angeles Dodgers,"$102,117,592"
563,2009,Milwaukee Brewers,"$81,384,502"
564,2009,Minnesota Twins,"$67,804,266"
565,2009,New York Mets,"$151,994,237"
566,2009,New York Yankees,"$210,330,039"
567,2009,Oakland Athletics,"$65,945,000"
568,2009,Philadelphia Phillies,"$115,479,046"
569,2009,Pittsburgh Pirates,"$51,912,500"
570,2009,San Diego Padres,"$50,954,200"
571,2009,Seattle Mariners,"$100,134,166"
572,2009,San Francisco Giants,"$91,944,450"
573,2009,St. Louis Cardinals,"$90,928,409"
574,2009,Tampa Bay Rays,"$67,270,334"
575,2009,Texas Rangers,"$79,723,548"
576,2009,Toronto Blue Jays,"$83,964,500"
577,2009,Washington Nationals,"$64,384,000"
578,2010,Arizona Diamondbacks,"$61,368,166"
579,2010,Atlanta Braves,"$84,423,666"
580,2010,Baltimore Orioles,"$81,612,500"
581,2010,Boston Red Sox,"$164,507,333"
582,2010,Chicago Cubs,"$146,609,002"
583,2010,Chicago White Sox,"$107,195,000"
584,2010,Cincinnati Reds,"$75,321,542"
585,2010,Cleveland Indians,"$61,203,966"
586,2010,Colorado Rockies,"$90,677,000"
587,2010,Detroit Tigers,"$124,039,928"
